 INFO  Accepting connections at http://localhost:3001
 HTTP  6/2/2026 7:52:39 PM 127.0.0.1 HEAD /
 HTTP  6/2/2026 7:52:39 PM 127.0.0.1 Returned 200 in 46 ms
 HTTP  6/2/2026 7:52:39 PM 127.0.0.1 GET /
 HTTP  6/2/2026 7:52:39 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 Returned 200 in 7 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /brand-assets/upwork-up.svg
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 Returned 200 in 7 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /portfolio/saudi/kayanee-mobile.png
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /portfolio/saudi/givenchy-mobile.png
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /_next/static/chunks/0st7pk-2m6xat.css
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /portfolio/saudi/niceone-mobile.png
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /portfolio/saudi/gulfshop-mobile.png
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /portfolio/saudi/florina-mobile.png
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 Returned 200 in 17 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 Returned 200 in 24 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 Returned 200 in 22 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 Returned 200 in 36 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 Returned 200 in 30 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /portfolio/saudi/dermazone-mobile.png
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 Returned 200 in 40 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /portfolio/saudi/rakizah-mobile.png
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /brand-assets/fiverr-fi.svg
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 Returned 200 in 12 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /brand-assets/app-store-icon.png
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 Returned 200 in 26 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 Returned 200 in 10 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 Returned 200 in 35 ms
 HTTP  6/2/2026 7:53:30 PM 127.0.0.1 GET /_next/static/chunks/0thjcwr4cni~_.js
